,activation,alpha,hidden_layer_sizes,max_iter,Test Accuracy,Test STD,Train Accuracy,Train STD
0,relu,0.001,"(5, 1)",50000,0.3546951441745545,0.561119615176765,0.4474023194216695,0.40739194072224333
1,relu,0.001,"(10, 1)",50000,0.6394763277530482,0.11353564325770456,0.8018195504623862,0.07800968855117918
2,relu,0.001,"(15, 1)",50000,0.2778536746882675,0.5775673339040699,0.3640212995915212,0.41072400410573184
3,relu,0.001,"(5, 2)",50000,0.4836165539483833,0.7274419174789272,0.7448995929051174,0.39728497760288634
4,relu,0.001,"(10, 2)",50000,0.47306121757016306,0.47989233165560563,0.7509536565509993,0.29291984583564284
5,relu,0.001,"(15, 2)",50000,0.8128156146790589,0.12802728404733452,0.9253432874874434,0.03692497449107469
6,relu,0.01,"(5, 1)",50000,-0.4703471487962926,1.1799980675097888,0.1587958917453536,0.31412625998562466
7,relu,0.01,"(10, 1)",50000,0.4696439493467836,0.5791662438841294,0.6493785802541024,0.33584415958395825
8,relu,0.01,"(15, 1)",50000,-0.0780873646472899,0.5943549055445643,0.3284180528485984,0.4571314710705207
9,relu,0.01,"(5, 2)",50000,0.8139727164674865,0.10631576317411794,0.886951002527848,0.05412529404434691
10,relu,0.01,"(10, 2)",50000,0.6767161994590494,0.4229880615837458,0.9151803989436287,0.025333923873330926
11,relu,0.01,"(15, 2)",50000,0.7884224103354472,0.11373078338414652,0.9251090683590979,0.06635058436879784
12,relu,0.035,"(5, 1)",50000,-0.003507588322339372,0.941061019974328,0.3104214636158112,0.4376620246471703
13,relu,0.035,"(10, 1)",50000,0.33508287584030655,0.6852116545947133,0.7818625460488128,0.05961274677801319
14,relu,0.035,"(15, 1)",50000,0.16884344491103437,0.5408754434441958,0.5072167376057031,0.4454866580025294
15,relu,0.035,"(5, 2)",50000,0.7839713045546477,0.07636874184991974,0.8828111037656583,0.024878750596411453
16,relu,0.035,"(10, 2)",50000,0.8176274376320434,0.12423417418160328,0.9099237973408604,0.055201517181528575
17,relu,0.035,"(15, 2)",50000,0.7533224914069221,0.31412690987358255,0.9117255400936106,0.0348376170192957
18,relu,0.1,"(5, 1)",50000,-0.11352341425322107,0.9055488095862241,0.30490466730006716,0.4209766549057071
19,relu,0.1,"(10, 1)",50000,0.2549097865934097,0.8174739494261866,0.6742269284135524,0.37423431551276265
20,relu,0.1,"(15, 1)",50000,0.5919837733376201,0.4402467210922792,0.6539146943862152,0.36390084521874416
21,relu,0.1,"(5, 2)",50000,0.8255034895611185,0.07191182236258564,0.8679804183520139,0.06365396503504799
22,relu,0.1,"(10, 2)",50000,0.36075222532064144,0.4173394015595241,0.5353706416273765,0.4831618783288735
23,relu,0.1,"(15, 2)",50000,0.6390602262738307,0.478942381616063,0.7204210491584798,0.3684786725557138
24,tanh,0.001,"(5, 1)",50000,0.7009776201400877,0.2585114684854253,0.8456817841125511,0.03571096455356757
25,tanh,0.001,"(10, 1)",50000,0.613653394395978,0.3675271516995925,0.8450664243860174,0.03237942432500209
26,tanh,0.001,"(15, 1)",50000,0.7389126962805067,0.10832635265064691,0.8463093544855849,0.030474524470330864
27,tanh,0.001,"(5, 2)",50000,0.838941386443371,0.0760836530095658,0.8812034552177254,0.016646805312066755
28,tanh,0.001,"(10, 2)",50000,0.8235538554543125,0.019903636120933238,0.8979873647450782,0.027908134398118144
29,tanh,0.001,"(15, 2)",50000,0.8295364653811298,0.11750592840453285,0.8852878599555902,0.040392648799230664
30,tanh,0.01,"(5, 1)",50000,0.5107216056374208,0.5351831994311474,0.8358463899147086,0.02772500609355258
31,tanh,0.01,"(10, 1)",50000,0.750597094185075,0.2058262692547144,0.8567352481723075,0.043397926263764215
32,tanh,0.01,"(15, 1)",50000,0.5505540076665462,0.47723132425591014,0.8497961117894122,0.035072954873608266
33,tanh,0.01,"(5, 2)",50000,0.8653129738820841,0.053714620328094514,0.8883151575368291,0.019309556920315458
34,tanh,0.01,"(10, 2)",50000,0.8391517388038692,0.061727325259452126,0.8985661133319038,0.022935636159949306
35,tanh,0.01,"(15, 2)",50000,0.8699013140574202,0.040179741555957986,0.9074012448032083,0.040013318588839324
36,tanh,0.035,"(5, 1)",50000,0.7361743440682511,0.09425487738301719,0.8404178873129947,0.046200306343181806
37,tanh,0.035,"(10, 1)",50000,0.788341870623164,0.08476314732486433,0.8352020510776264,0.03427447543417132
38,tanh,0.035,"(15, 1)",50000,0.5401122918715082,0.3695949627042564,0.8368217262536011,0.04088881544417336
39,tanh,0.035,"(5, 2)",50000,0.7645898958788738,0.15479446586492498,0.9010590022207815,0.025293658848672133
40,tanh,0.035,"(10, 2)",50000,0.815880203669769,0.12477930474322038,0.8818387923555955,0.024671705272132832
41,tanh,0.035,"(15, 2)",50000,0.7910464935930606,0.18300904548981342,0.9003537445419914,0.026264663114924595
42,tanh,0.1,"(5, 1)",50000,0.2704490718584432,0.5250165746876192,0.647625729158805,0.33441644003757276
43,tanh,0.1,"(10, 1)",50000,0.8286797420723776,0.06033902238848907,0.8582281366677682,0.04720020005555547
44,tanh,0.1,"(15, 1)",50000,0.4641217694333745,0.49102599524006024,0.8304153348831493,0.02559764400051746
45,tanh,0.1,"(5, 2)",50000,0.7828908518019159,0.13225952893767004,0.9003533222987675,0.0333314238010217
46,tanh,0.1,"(10, 2)",50000,0.7238155656964091,0.2351789870532396,0.9022780155842748,0.045814046708746954
47,tanh,0.1,"(15, 2)",50000,0.7746666492790212,0.1505129915059715,0.8791867526866145,0.04149280374748977
48,logistic,0.001,"(5, 1)",50000,-0.52439299630089,1.7925349064934182,0.42706893930982115,0.3691447818765886
49,logistic,0.001,"(10, 1)",50000,-0.5243507890525724,1.5807309572994588,0.29360327951402504,0.3840938423135321
50,logistic,0.001,"(15, 1)",50000,0.4027002491584267,0.30903368072172555,0.6015827986783944,0.3091224952432159
51,logistic,0.001,"(5, 2)",50000,0.4847026641976955,0.3215830869389498,0.6564191778263888,0.31964971629533123
52,logistic,0.001,"(10, 2)",50000,0.7323568687452899,0.11901070826905431,0.8146696902843308,0.03638825832167603
53,logistic,0.001,"(15, 2)",50000,0.7291700609610003,0.17153281151930905,0.8551767651585489,0.021766504334138764
54,logistic,0.01,"(5, 1)",50000,-0.363636423335402,1.529307922618712,0.30594688246583945,0.3508989976245912
55,logistic,0.01,"(10, 1)",50000,0.3467066100638867,0.5199157931151562,0.6157468317158268,0.31435181716758925
56,logistic,0.01,"(15, 1)",50000,0.17017034588654498,0.5314614378569888,0.45628177782413015,0.3829283017385246
57,logistic,0.01,"(5, 2)",50000,-0.04843679202872597,1.3591377853500675,0.5088370293935964,0.4260110660417949
58,logistic,0.01,"(10, 2)",50000,0.4586575529841596,0.472219570059587,0.6802439999909783,0.33812569589739727
59,logistic,0.01,"(15, 2)",50000,0.3108453999024599,0.996791827644798,0.677940331675426,0.36096953200453274
60,logistic,0.035,"(5, 1)",50000,-0.03223083276622574,1.1789757138682415,0.47055572576857896,0.36832344339626394
61,logistic,0.035,"(10, 1)",50000,0.5119324514557109,0.3080727144211422,0.7504521013790697,0.06322957526780842
62,logistic,0.035,"(15, 1)",50000,0.562789351233016,0.3581933942252438,0.6053996271436949,0.3238119476817561
63,logistic,0.035,"(5, 2)",50000,-0.06667688233619731,1.3752198735117438,0.5291423491124795,0.41469654089914215
64,logistic,0.035,"(10, 2)",50000,0.6116270753838544,0.30175250551260246,0.8309669974628132,0.03439304956851103
65,logistic,0.035,"(15, 2)",50000,0.6652397349397521,0.16211642015866687,0.8131308420549915,0.030485261399703225
66,logistic,0.1,"(5, 1)",50000,-0.43744490246716444,1.273359514431541,0.3110931763397039,0.37183776376036665
67,logistic,0.1,"(10, 1)",50000,-0.07896242156855363,0.5180292335077895,0.31699598920109967,0.3861194377720093
68,logistic,0.1,"(15, 1)",50000,-0.42465991531943414,1.6729000558386629,0.4045897965072274,0.3617219967218937
69,logistic,0.1,"(5, 2)",50000,0.4627718833623159,0.36491869229409135,0.6672837322448306,0.297411254704667
70,logistic,0.1,"(10, 2)",50000,0.1806204003178842,1.2040020215591858,0.6764459846556968,0.32369908842662704
71,logistic,0.1,"(15, 2)",50000,0.7321029827095311,0.12057729426841235,0.8212927343673092,0.03254849503773088
