,C,gamma,kernel,Test Accuracy,Test STD,Train Accuracy,Train STD
0,1,0.001,rbf,-0.44830964296553333,0.6564767937855536,0.10103819243142509,0.014862140477076274
1,1,0.001,linear,0.7691550465368528,0.11859396624301714,0.8978530834289657,0.011133838250254149
2,1,0.0001,rbf,-0.6114917059258922,0.7103980481909542,-0.003583969485943128,0.013577759473030785
3,1,0.0001,linear,0.7691550465368528,0.11859396624301714,0.8978530834289657,0.011133838250254149
4,10,0.001,rbf,0.5494395699879003,0.23019779837473883,0.7168210647818254,0.01944293802577687
5,10,0.001,linear,0.7679995563300843,0.11786305940850407,0.8971566120429559,0.009076949027941981
6,10,0.0001,rbf,-0.4471104863996055,0.655901619465941,0.10174670614021042,0.01488503883142806
7,10,0.0001,linear,0.7679995563300843,0.11786305940850407,0.8971566120429559,0.009076949027941981
8,100,0.001,rbf,0.7747142555720435,0.14423783191203265,0.897553350357227,0.013230801501316116
9,100,0.001,linear,0.7679799684813724,0.11794624335117322,0.897099220215833,0.009017695798226777
10,100,0.0001,rbf,0.5524793544202137,0.23041519945584765,0.7189770782221377,0.018996871550851998
11,100,0.0001,linear,0.7679799684813724,0.11794624335117322,0.897099220215833,0.009017695798226777
